Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,694.10
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,662.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,627.96
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,588.94
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,669.86
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216179,Heidi Christoforato t/a Churchfields Home Care,524.83
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216179,Heidi Christoforato t/a Churchfields Home Care,524.83
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,The Consortium for Purchasing and Distribution Limited,640.72
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,The Consortium for Purchasing and Distribution Limited,1159.24
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,Tramshed Tech Limited,737.08
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,WHW Print Limited,810.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101094,Koufax Limited T/A Southpaw,806.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101180,Chubb Fire & Security Limited,732.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101213,Ricoh UK Limited,1003.32
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101216,Altodigital Networks Limited,2754.75
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101216,CF Corporate Finance Limited,2499.98
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101317,BLC (Wales) Limited t/a Big Learning Company,943.92
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Academia Limited,4560.91
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Cardiff Lift Company Limited,720.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Complete Care Network Limited t/a Complete Care Shop,594.95
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Tugbury Electrical Services Limited,925.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,212731,The Helping Hand Company (Ledbury) Limited,810.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215121,Tunstall Healthcare (UK) Limited,1090.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216731,CJ Contract Travel Services Limited,570.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,218315,Lyreco UK Limited,816.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,218315,Lyreco UK Limited,-816.28
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,1414.80
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,3068.40
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,5612.40
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,325600,Calibre Contracting Limited,1324.95
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,325790,Calibre Contracting Limited,1365.17
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333013,Ace Site Services (UK) Limited,640.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,2100.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333550,British Soil (Western) Limited,707.50
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Oct-2018,356600,Wales Environmental Limited T/A Cardiff Drain Cleaning Co,555.00
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Oct-2018,365763,Glamorgan Gem Limited,519.75
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365790,The Edge (Systems) Limited,549.70
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,01-Oct-2018,400050,Glamorgan Gem Limited,507.00
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,01-Oct-2018,400050,Glamorgan Gem Limited,1092.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403102,Institute of Licensing,-2488.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403135,Institute of Licensing,-2677.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403330,Institute of Licensing,-840.00
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01-Oct-2018,405001,Nina Estate Agents Limited,550.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,421230,Complete Business Solutions Group Limited,598.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,421230,West Mercia Air Conditioning Limited,1535.50
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,422100,West Mercia Air Conditioning Limited,1535.50
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01-Oct-2018,440530,Sabio Limited,28902.51
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01-Oct-2018,810118,AECOM Limited,32201.26
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01-Oct-2018,810120,AECOM Limited,6740.88
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,01-Oct-2018,834231,HR Thomas Limited,600.00
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,01-Oct-2018,834231,JCP Solictors Limited,62990.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101005,Cardiff County Council,2357.50
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-Oct-2018,190051,Cardiff & Vale University Local Health Board,5000.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365789,Peter Harris,585.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365790,Ceri Byles,1328.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101075,New Directions (Education) Limited,640.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101213,New Directions (Education) Limited,522.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101285,Bay Resourcing Limited,590.88
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,New Directions (Education) Limited,676.30
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01-Oct-2018,140131,Randstad Solutions Limited,112654.09
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Oct-2018,303910,Hays Specialist Recruitment Limited,615.68
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,323686,Hays Specialist Recruitment Limited,1505.25
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,323686,Hays Specialist Recruitment Limited,901.14
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,323686,Hays Specialist Recruitment Limited,640.64
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,323686,Hays Specialist Recruitment Limited,1505.25
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Oct-2018,407101,Building Recruitment Company Limited,632.75
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Oct-2018,407106,Building Recruitment Company Limited,737.32
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Oct-2018,407119,Building Recruitment Company Limited,613.80
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,422160,Hays Specialist Recruitment Limited,813.45
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,422160,Hays Specialist Recruitment Limited,663.57
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Oct-2018,100650,St Donats Nursery,16605.00
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Oct-2018,100650,Swallow Playgroup,11250.00
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Oct-2018,100650,Wick & District Playgroup,3750.00
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Oct-2018,100650,Wick & District Playgroup,750.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,532.70
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,626.65
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,582.40
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,621.60
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,597.15
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,1st Grade Care Limited,532.70
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Cherish Cymru Limited,617.90
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Cherish Cymru Limited,603.59
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Cherish Cymru Limited,637.01
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Cherish Cymru Limited,533.74
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Parkrow Care Limited,596.22
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Parkrow Care Limited,600.48
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,1st Grade Care Limited,562.65
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,218419,Parkrow Care Limited,625.72
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Oct-2018,100130,The Colour Works International Limited,2275.00
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Oct-2018,100143,Golley Slater Group Limited,1401.24
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101004,Blue Sky Digital Solutions Limited,778.75
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101013,2simple Software Limited,600.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101013,Fronting The Challenge Projects Limited t/a Thrive,912.50
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101095,Findel Education Limited,674.97
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101095,The Consortium for Purchasing and Distribution Limited,691.97
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101171,Buy it Direct Limited t/a Laptops Direct,666.57
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101171,Buy it Direct Limited t/a Laptops Direct,5300.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101171,Grenke Leasing Limited,814.98
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101171,National Education Show Limited,540.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,102593,Penarth Autocare Limited,631.13
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,02-Oct-2018,102703,Pearson Education Limited,657.25
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,104381,Madol Limited,540.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,02-Oct-2018,140122,Childcare Vouchers Limited,29310.32
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,1167.39
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,1167.39
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,1222.98
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,1222.98
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215803,Tai Newydd Limited,15625.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217541,Care Management Group Limited,1821.08
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217541,Care Management Group Limited,93199.96
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217541,Cartrefi Cymru Co-Operative Limited,57134.80
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,Consensus Support Services Limited t/a Ty Machen,2163.85
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,Everycare (Cardiff) Limited,822.12
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,Everycare (Cardiff) Limited,670.80
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,Merricks Private Transport Contractors Limited,1008.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,217909,Merricks Private Transport Contractors Limited,860.80
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,02-Oct-2018,239043,Narrative Edge Limited,3750.00
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,02-Oct-2018,239043,Narrative Edge Limited,5550.00
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Oct-2018,260130,Llamau Limited,717.84
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Oct-2018,260130,Llamau Limited,1116.64
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Oct-2018,260130,Llamau Limited,1116.64
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Oct-2018,260140,Llamau Limited,518.44
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Oct-2018,260200,Smooth Starts Plus Limited,1232.00
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,02-Oct-2018,260500,Complete Business Solutions Group Limited,1792.80
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Oct-2018,323684,Golley Slater Group Limited,1447.50
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Oct-2018,333010,Total Ground Care Limited,4377.50
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Oct-2018,333013,Ace Site Services (UK) Limited,650.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Oct-2018,333013,Ace Site Services (UK) Limited,600.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Oct-2018,333013,Total Ground Care Limited,853.55
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Oct-2018,333036,Total Ground Care Limited,9494.90
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,02-Oct-2018,350740,Mount Events Barry Limited,590.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Oct-2018,365789,Peyton Travel Limited,2300.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Oct-2018,365793,Creigiau Travel Limited,9010.00
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,409103,Heatforce (Wales) Limited,15986.90
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,409103,Heatforce (Wales) Limited,13820.73
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,409103,Heatforce (Wales) Limited,1525.56
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Oct-2018,421230,Certero Limited,3063.68
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,02-Oct-2018,440530,Northgate Public Services (UK) Limited,1344.95
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,02-Oct-2018,440611,Barnardo Services Limited,5000.00
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Oct-2018,810119,AECOM Limited,26744.20
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Oct-2018,810119,AECOM Limited,46730.60
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,02-Oct-2018,812261,Elliott Electrical Limited,542.50
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,02-Oct-2018,831503,Glamorgan White Lining Limited,15173.05
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,02-Oct-2018,831503,Glamorgan White Lining Limited,1044.58
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,02-Oct-2018,834211,Horizon Civil Engineering Limited,10886.50
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,02-Oct-2018,835375,AECOM Limited,3824.57
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,02-Oct-2018,835375,AECOM Limited,3969.77
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1851.30
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1851.30
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1524.60
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1504.80
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,2451.30
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1960.20
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1524.60
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1851.30
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1851.30
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1386.00
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Oct-2018,842067,Fusion Electrical & Building Services Engineering Limited,1851.30
DIRECT CAPITAL POLICY,CAPITAL POLICY,02-Oct-2018,852233,Qolcom Limited,572.00
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,02-Oct-2018,102652,Mark Harries & Ptn T/A Seirrah Occupational Therapy,535.77
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101141,PSC - Lynwen Barnsley,530.15
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),606.41
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02-Oct-2018,405001,Lyndon Mustoe,575.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101013,New Directions (Education) Limited,510.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101095,New Directions (Education) Limited,750.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101141,Celtic Teachers Limited,820.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101145,Celtic Teachers Limited,605.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101315,New Directions (Education) Limited,743.05
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Oct-2018,101315,New Directions (Education) Limited,743.05
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02-Oct-2018,103031,Bay Resourcing Limited,601.60
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02-Oct-2018,103227,Bay Resourcing Limited,727.95
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,407118,James Andrews Recruitment Solutions Limited,1175.00
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,407119,Building Recruitment Company Limited,1331.24
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Oct-2018,407119,Hays Specialist Recruitment Limited,1059.36
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215486,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,620.06
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Avan Limited T/A Brightside Manor,600.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Baltimore Care Limited,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Baltimore Care Limited,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Baltimore Care Limited,526.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,1963.09
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Duffryn Ffrwd Manor Limited,549.49
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Glamorgan Care Limited t/a Danygraig House,666.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),561.85
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),565.46
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,562.85
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,512.49
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,MHA Care Group t/a Morel Court,531.09
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,592.17
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,621.36
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,602.96
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,518.39
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,544.72
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,617.27
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,630.07
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,609.89
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,550.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,502.26
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,597.36
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
