Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,421230,Complete Business Solutions Group Limited,615.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,421230,Q Associates Limited,2613.33
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,421230,WCS Enterprises Limited,3600.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,422201,WWS 1987 Limited T/A Welsh Window Systems,817.00
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,09-Oct-2018,810067,K2N Limited,2500.00
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1218.42
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1096.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1103.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1101.05
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1101.05
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1067.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,856.52
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1101.05
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,866.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1060.87
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,836.37
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842169,David Clements Ecology Limited,1780.50
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-Oct-2018,842181,David Clements Ecology Limited,3146.15
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260060,Durham County Council,40145.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,09-Oct-2018,403211,Bridgend County Borough Council,2412.64
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,09-Oct-2018,403213,Bridgend County Borough Council,141052.79
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,09-Oct-2018,403213,Cardiff County Council,106203.24
OUTSIDE FUNDS,LOCAL RESILIENCE FORUM,09-Oct-2018,510000,Merthyr Tydfil County Borough Council,664.65
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,09-Oct-2018,300645,Western Power Distribution LLP,1281.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),606.41
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260050,Catrin Jenkins,2620.00
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260200,Wesley Howard,763.00
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260210,Helena Jones,864.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,09-Oct-2018,403156,University of the West of England,-1562.50
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Oct-2018,101141,Celtic Teachers Limited,875.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Oct-2018,101145,Celtic Teachers Limited,970.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Oct-2018,101195,Millennium Personnel Services (Education) Limited,646.50
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Oct-2018,101195,New Directions (Education) Limited,637.60
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Oct-2018,102604,New Directions (Education) Limited,569.18
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Oct-2018,102604,New Directions (Education) Limited,609.84
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,09-Oct-2018,103227,New Directions (Education) Limited,657.50
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260150,Sanctuary Personnel Limited,1276.50
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Oct-2018,260200,New Directions (Education) Limited,980.00
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-Oct-2018,407119,Building Recruitment Company Limited,1292.76
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-Oct-2018,407119,Hays Specialist Recruitment Limited,1701.06
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-Oct-2018,407119,Hays Specialist Recruitment Limited,1328.69
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-Oct-2018,407119,Hays Specialist Recruitment Limited,1546.41
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,422160,Hays Specialist Recruitment Limited,758.63
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Oct-2018,422160,Hays Specialist Recruitment Limited,1136.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215486,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,620.06
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215486,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,1282.89
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215486,MHA Care Group t/a Ty Gwyn Private Nursing Home,641.44
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215486,Waverley Care Centre Limited,919.40
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Avan Limited T/A Brightside Manor,600.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Baltimore Care Limited,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Baltimore Care Limited,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Baltimore Care Limited,526.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,1963.09
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,1055.66
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,3901.07
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Duffryn Ffrwd Manor Limited,549.49
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Glamorgan Care Limited t/a Danygraig House,666.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),561.85
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),565.46
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,562.85
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,512.49
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,MHA Care Group t/a Morel Court,531.09
